"featureid","parentid","code","featurekey","name","description","featuretype","valuetype","defaultvalue","minvalue","maxvalue","valueoptions","unit","status","minappversion","sortorder","isdeleted","createdby","createdat","updatedby","updatedat"
1,,inventory,inventory,Inventory,,1,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
2,,billing,billing,Billing,,1,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
3,,reports,reports,Reports,,1,1,false,,,"",,2,,3,0,,2026-06-25 15:38:21.405 +0530,,
4,,customers,customers,Customers,,1,1,false,,,"",,2,,4,0,,2026-06-25 15:38:21.405 +0530,,
5,,users,users,Users,,1,1,false,,,"",,2,,5,0,,2026-06-25 15:38:21.405 +0530,,
6,,settings,settings,Settings,,1,1,false,,,"",,2,,6,0,,2026-06-25 15:38:21.405 +0530,,
7,1,categories,inventory.categories,Categories,,2,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
8,1,items,inventory.items,Items,,2,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
9,2,returns,billing.returns,Returns,,2,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
10,2,invoice,billing.invoice,Invoice,,2,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
11,3,inventory,reports.inventory,Inventory Report,,2,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
12,3,sales,reports.sales,Sales Report,,2,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
13,8,export,inventory.items.export,Export Items,,3,1,false,,,"",,2,,4,0,,2026-06-25 15:38:21.405 +0530,,
14,8,delete,inventory.items.delete,Delete Items,,3,1,false,,,"",,2,,3,0,,2026-06-25 15:38:21.405 +0530,,
15,8,edit,inventory.items.edit,Edit Items,,3,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
16,8,add,inventory.items.add,Add Items,,3,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
17,10,export,billing.invoice.export,Export Invoice,,3,1,false,,,"",,2,,3,0,,2026-06-25 15:38:21.405 +0530,,
18,10,edit,billing.invoice.edit,Edit Invoice,,3,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
19,10,create,billing.invoice.create,Create Invoice,,3,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
20,12,export,reports.sales.export,Export Sales Report,,3,1,false,,,"",,2,,2,0,,2026-06-25 15:38:21.405 +0530,,
21,12,view,reports.sales.view,View Sales Report,,3,1,false,,,"",,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
22,4,max,customers.max,Max Customers,,4,2,"0",0,100000,"",customers,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
23,5,max,users.max,Max Users,,4,2,"1",1,500,"",users,2,,1,0,,2026-06-25 15:38:21.405 +0530,,
24,8,max,inventory.items.max,Max Items,,4,2,"0",0,100000,"",items,2,,5,0,,2026-06-25 15:38:21.405 +0530,,
25,10,per_day_max,billing.invoice.per_day_max,Max Invoices / Day,,4,2,"0",0,100000,"",bills/day,2,,4,0,,2026-06-25 15:38:21.405 +0530,,
26,12,max_rows,reports.sales.max_rows,Sales Max Rows,,5,2,"50",10,100000,"",rows,2,,4,0,,2026-06-25 15:38:21.405 +0530,,
27,12,window_days,reports.sales.window_days,Sales Data Window,,5,3,"30",,,"[7, 30, 90, 365, ""all""]",days,2,,3,0,,2026-06-25 15:38:21.405 +0530,,
55,,manage_menu,manage_menu,Manage Menu,Manage Menu,1,1,false,,,"",,2,,0,0,1,2026-06-29 12:36:58.422 +0530,,
